tahun,bulan,kuartal,wilayah_enc,komoditas_enc,harga_lag1,harga_lag2,harga_lag3,harga_rolling3
-1.0,-0.6,-1.0,-1.0,-1.0,0.41350210970464135,0.452431289640592,0.4574468085106383,0.42812281926029305
-1.0,-0.4,-1.0,-1.0,-1.0,0.7552742616033755,0.42071881606765327,0.4574468085106383,0.5307048150732728
-1.0,-0.2,-1.0,-1.0,-1.0,0.7552742616033755,0.7632135306553911,0.425531914893617,0.6332868108862526
-1.0,0.0,0.0,-1.0,-1.0,0.8312236286919831,0.7632135306553911,0.7702127659574468,0.7714584787159804
-1.0,0.2,0.0,-1.0,-1.0,0.740506329113924,0.8393234672304439,0.7702127659574468,0.7665736217725052
-1.0,0.4,0.0,-1.0,-1.0,0.4177215189873418,0.7484143763213531,0.8468085106382979,0.6549197487787856
-1.0,0.6,1.0,-1.0,-1.0,0.23839662447257384,0.4249471458773784,0.7553191489361702,0.4588276343335658
-1.0,0.8,1.0,-1.0,-1.0,0.19198312236286919,0.2452431289640592,0.4297872340425532,0.2773900907187718
-1.0,1.0,1.0,-1.0,-1.0,0.350210970464135,0.19873150105708245,0.24893617021276596,0.2550593161200279
-0.6666666666666666,-1.2,-2.0,-1.0,-1.0,0.5611814345991561,0.3572938689217759,0.20212765957446807,0.36182833217027216
-0.6666666666666666,-1.0,-2.0,-1.0,-1.0,0.5611814345991561,0.5687103594080338,0.3617021276595745,0.4839497557571527
-0.6666666666666666,-0.8,-2.0,-1.0,-1.0,0.9831223628691983,0.5687103594080338,0.574468085106383,0.6933007676203768
-0.6666666666666666,-0.6,-1.0,-1.0,-1.0,0.6919831223628692,0.9915433403805497,0.574468085106383,0.736566643405443
-0.6666666666666666,-0.4,-1.0,-1.0,-1.0,0.9156118143459916,0.6997885835095138,1.0,0.8538032100488484
-0.6666666666666666,-0.2,-1.0,-1.0,-1.0,0.9156118143459916,0.9238900634249472,0.7063829787234043,0.8314724354501047
-0.6666666666666666,0.0,0.0,-1.0,-1.0,0.9156118143459916,0.9238900634249472,0.9319148936170213,0.9054431263084437
-0.6666666666666666,0.2,0.0,-1.0,-1.0,0.6497890295358649,0.9238900634249472,0.9319148936170213,0.8175157013258897
-0.6666666666666666,0.4,0.0,-1.0,-1.0,0.6244725738396625,0.6575052854122622,0.9319148936170213,0.7212142358688066
-0.6666666666666666,0.6,1.0,-1.0,-1.0,0.4409282700421941,0.6321353065539113,0.6638297872340425,0.5642009769713886
-0.6666666666666666,0.8,1.0,-1.0,-1.0,0.4620253164556962,0.44820295983086683,0.6382978723404256,0.5020935101186322
-0.6666666666666666,1.0,1.0,-1.0,-1.0,0.7130801687763713,0.4693446088794926,0.4531914893617021,0.5314026517794836
-0.3333333333333333,-1.2,-2.0,-1.0,-1.0,0.8080168776371308,0.7209302325581395,0.474468085106383,0.6528262386601533
-0.3333333333333333,-1.0,-2.0,-1.0,-1.0,0.8080168776371308,0.8160676532769556,0.7276595744680852,0.7672714584787159
-0.3333333333333333,-0.8,-2.0,-1.0,-1.0,0.6181434599156118,0.8160676532769556,0.823404255319149,0.7358688066992323
-0.3333333333333333,-0.6,-1.0,-1.0,-1.0,0.630801687763713,0.6257928118393234,0.823404255319149,0.6772505233775296
-0.3333333333333333,-0.4,-1.0,-1.0,-1.0,0.6835443037974683,0.638477801268499,0.6319148936170212,0.6360781577110954
-0.3333333333333333,-0.2,-1.0,-1.0,-1.0,0.6835443037974683,0.6913319238900634,0.6446808510638298,0.6577110956036288
-0.3333333333333333,0.0,0.0,-1.0,-1.0,0.6835443037974683,0.6913319238900634,0.6978723404255319,0.6751570132588973
-0.3333333333333333,0.2,0.0,-1.0,-1.0,0.5189873417721519,0.6913319238900634,0.6978723404255319,0.6207257501744591
-0.3333333333333333,0.4,0.0,-1.0,-1.0,0.6729957805907173,0.5264270613107822,0.6978723404255319,0.6172365666434053
-0.3333333333333333,0.6,1.0,-1.0,-1.0,0.4978902953586498,0.6807610993657506,0.5319148936170213,0.5558269364968597
-0.3333333333333333,0.8,1.0,-1.0,-1.0,0.32489451476793246,0.5052854122621564,0.6872340425531915,0.49162595952547106
-0.3333333333333333,1.0,1.0,-1.0,-1.0,0.4029535864978903,0.33192389006342493,0.5106382978723404,0.40230286113049535
0.0,-1.2,-2.0,-1.0,-1.0,0.3860759493670886,0.41014799154334036,0.33617021276595743,0.36531751570132587
0.0,-1.0,-2.0,-1.0,-1.0,0.5443037974683544,0.39323467230443976,0.4148936170212766,0.43789253314724347
0.0,-0.8,-2.0,-1.0,-1.0,0.5443037974683544,0.5517970401691332,0.39787234042553193,0.48464759246336353
0.0,-0.6,-1.0,-1.0,-1.0,0.6708860759493671,0.5517970401691332,0.5574468085106383,0.5788555478018144
0.0,-0.4,-1.0,-1.0,-1.0,0.6877637130801688,0.678646934460888,0.5574468085106383,0.6263084438241452
0.0,-0.2,-1.0,-1.0,-1.0,0.6877637130801688,0.6955602536997886,0.6851063829787234,0.6737613398464758
0.0,0.0,0.0,-1.0,-1.0,0.6877637130801688,0.6955602536997886,0.7021276595744681,0.6793440334961618
0.0,0.2,0.0,-1.0,-1.0,1.879746835443038,0.6955602536997886,0.7021276595744681,1.0736217725052335
0.0,0.4,0.0,-1.0,-1.0,1.1624472573839661,1.890063424947146,0.7021276595744681,1.2306350314026515
0.0,0.6,1.0,-1.0,-1.0,0.5232067510548524,1.1712473572938689,1.9042553191489362,1.1762037683182134
0.0,0.8,1.0,-1.0,-1.0,0.609704641350211,0.5306553911205074,1.1808510638297873,0.756106071179344
0.0,1.0,1.0,-1.0,-1.0,0.609704641350211,0.6173361522198731,0.5361702127659574,0.5732728541521283
0.3333333333333333,-1.2,-2.0,-1.0,-1.0,0.6413502109704642,0.6173361522198731,0.6234042553191489,0.6123517096999301
0.3333333333333333,-1.0,-2.0,-1.0,-1.0,0.5611814345991561,0.6490486257928119,0.6234042553191489,0.5963014654570828
0.3333333333333333,-0.8,-2.0,-1.0,-1.0,0.8818565400843882,0.5687103594080338,0.6553191489361702,0.6863224005582692
0.3333333333333333,-0.6,-1.0,-1.0,-1.0,0.7658227848101266,0.8900634249471459,0.574468085106383,0.7274947662247033
0.3333333333333333,-0.4,-1.0,-1.0,-1.0,0.6708860759493671,0.773784355179704,0.8978723404255319,0.763782274947662
0.3333333333333333,-0.2,-1.0,-1.0,-1.0,0.6708860759493671,0.678646934460888,0.7808510638297872,0.6939986043265876
0.3333333333333333,0.0,0.0,-1.0,-1.0,0.6666666666666666,0.678646934460888,0.6851063829787234,0.6612002791346823
0.3333333333333333,0.2,0.0,-1.0,-1.0,0.820675105485232,0.6744186046511628,0.6851063829787234,0.7107466852756454
0.3333333333333333,0.4,0.0,-1.0,-1.0,0.6075949367088608,0.828752642706131,0.6808510638297872,0.6898115840893231
0.3333333333333333,0.6,1.0,-1.0,-1.0,0.4240506329113924,0.6152219873150105,0.8361702127659575,0.6095603628750873
0.3333333333333333,0.8,1.0,-1.0,-1.0,0.23839662447257384,0.4312896405919662,0.6212765957446809,0.41695743196092105
0.3333333333333333,1.0,1.0,-1.0,-1.0,0.35654008438818563,0.2452431289640592,0.43617021276595747,0.3339148639218423
0.6666666666666666,-1.2,-2.0,-1.0,-1.0,0.5928270042194093,0.36363636363636365,0.24893617021276596,0.38974180041870193
0.6666666666666666,-1.0,-2.0,-1.0,-1.0,0.8945147679324894,0.6004228329809725,0.3680851063829787,0.606769016050244
0.6666666666666666,-0.8,-2.0,-1.0,-1.0,0.7721518987341772,0.9027484143763214,0.6063829787234043,0.7442428471737612
0.6666666666666666,-0.6,-1.0,-1.0,-1.0,0.7890295358649789,0.7801268498942917,0.9106382978723404,0.8091416608513607
0.6666666666666666,-0.4,-1.0,-1.0,-1.0,0.9261603375527426,0.7970401691331924,0.7872340425531915,0.8196092114445219
0.6666666666666666,-0.2,-1.0,-1.0,-1.0,1.8966244725738397,0.9344608879492601,0.8042553191489362,1.1915561758548499
0.6666666666666666,0.0,0.0,-1.0,-1.0,1.4852320675105486,1.9069767441860466,0.9425531914893617,1.4218422889043962
0.6666666666666666,0.2,0.0,-1.0,-1.0,1.1350210970464134,1.4947145877378436,1.921276595744681,1.4909281228192603
0.6666666666666666,0.4,0.0,-1.0,-1.0,0.3818565400843882,1.1437632135306555,1.5063829787234042,0.989881367759944
0.6666666666666666,0.6,1.0,-1.0,-1.0,0.2805907172995781,0.3890063424947146,1.1531914893617021,0.5914166085136078
-1.0,-0.6,-1.0,-1.0,-0.9,0.06540084388185655,0.0613107822410148,0.06382978723404255,0.05478018143754356
-1.0,-0.4,-1.0,-1.0,-0.9,0.31856540084388185,0.07188160676532769,0.06382978723404255,0.14200976971388699
-1.0,-0.2,-1.0,-1.0,-0.9,0.31856540084388185,0.32558139534883723,0.07446808510638298,0.22923935799023026
-1.0,0.0,0.0,-1.0,-0.9,0.8924050632911392,0.32558139534883723,0.32978723404255317,0.5027913468248428
-1.0,0.2,0.0,-1.0,-0.9,0.8037974683544303,0.9006342494714588,0.32978723404255317,0.6632937892533145
-1.0,0.4,0.0,-1.0,-0.9,0.6244725738396625,0.8118393234672304,0.9085106382978724,0.764480111653873
-1.0,0.6,1.0,-1.0,-0.9,0.5443037974683544,0.6321353065539113,0.8191489361702128,0.6493370551290998
-1.0,0.8,1.0,-1.0,-0.9,0.4831223628691983,0.5517970401691332,0.6382978723404256,0.5432658757850662
-1.0,1.0,1.0,-1.0,-0.9,0.43037974683544306,0.4904862579281184,0.5574468085106383,0.4790648988136776
-0.6666666666666666,-1.2,-2.0,-1.0,-0.9,0.4388185654008439,0.4376321353065539,0.4957446808510638,0.4441730635031402
-0.6666666666666666,-1.0,-2.0,-1.0,-0.9,0.4388185654008439,0.44608879492600423,0.4425531914893617,0.42951849267271447
-0.6666666666666666,-0.8,-2.0,-1.0,-0.9,0.9029535864978903,0.44608879492600423,0.451063829787234,0.5858339148639217
-0.6666666666666666,-0.6,-1.0,-1.0,-0.9,0.9831223628691983,0.9112050739957717,0.451063829787234,0.7658757850662943
-0.6666666666666666,-0.4,-1.0,-1.0,-0.9,0.8565400843881856,0.9915433403805497,0.9191489361702128,0.9040474528960222
-0.6666666666666666,-0.2,-1.0,-1.0,-0.9,0.8565400843881856,0.864693446088795,1.0,0.8886950453593858
-0.6666666666666666,0.0,0.0,-1.0,-0.9,0.8565400843881856,0.864693446088795,0.8723404255319149,0.846824842986741
-0.6666666666666666,0.2,0.0,-1.0,-0.9,0.12236286919831224,0.864693446088795,0.8723404255319149,0.6039776692254012
-0.6666666666666666,0.4,0.0,-1.0,-0.9,0.012658227848101266,0.12896405919661733,0.8723404255319149,0.3248429867411025
-0.6666666666666666,0.6,1.0,-1.0,-0.9,0.16455696202531644,0.019027484143763214,0.13191489361702127,0.09595254710397771
-0.6666666666666666,0.8,1.0,-1.0,-0.9,0.19198312236286919,0.17124735729386892,0.02127659574468085,0.11898115840893235
-0.6666666666666666,1.0,1.0,-1.0,-0.9,0.21940928270042195,0.19873150105708245,0.17446808510638298,0.18736915561758546
-0.3333333333333333,-1.2,-2.0,-1.0,-0.9,0.25949367088607594,0.226215644820296,0.20212765957446807,0.21877180739706906
-0.3333333333333333,-1.0,-2.0,-1.0,-0.9,0.25949367088607594,0.266384778012685,0.2297872340425532,0.24110258199581291
-0.3333333333333333,-0.8,-2.0,-1.0,-0.9,0.229957805907173,0.266384778012685,0.2702127659574468,0.24459176552686673
-0.3333333333333333,-0.6,-1.0,-1.0,-0.9,0.2616033755274262,0.23678646934460887,0.2702127659574468,0.2452896022330774
